Unnamed: 0;__run_id;__done;generation;model_size;task;energy;run;rep;duration_ms;cpu_joules;gpu_joules;energy_consumption_total_joules;response_length_sum_characters;response_token_count;accuracy
0;run_25_repetition_18;DONE;3.2;3B;CB;6451.2413330078125;25;18;111843;5784.825744628906;37467.07954462888;43251.90528925778;69734;14123;1.0
1;run_9_repetition_4;DONE;3.0;8B;RTE;11132.564025878906;9;4;198877;10298.242248535127;70271.04904853516;80569.29129707029;58692;11756;1.0
2;run_28_repetition_9;DONE;3.2;3B;WiC;5964.728454589844;28;9;96639;5284.545837402344;33095.712037402314;38380.25787480466;53139;12220;1.0
3;run_10_repetition_11;DONE;3.0;8B;WiC;14014.020568847656;10;11;249912;13127.821044921877;88423.96524492186;101551.78628984372;63663;14810;1.0
4;run_3_repetition_8;DONE;2.0;7B;RTE;10928.841918945312;3;8;188664;10109.410705566406;68083.90350556636;78193.31421113276;54273;12250;1.0
5;run_12_repetition_28;DONE;3.1;8B;BoolQ;8121.673034667969;12;28;137852;7270.819580078125;49309.75298007816;56580.57256015629;37425;8089;1.0
6;run_9_repetition_22;DONE;3.0;8B;RTE;11505.631652832031;9;22;198880;10641.549926757812;71107.68032675779;81749.2302535156;58692;11756;1.0
7;run_27_repetition_16;DONE;3.2;3B;RTE;5662.066162109375;27;16;89831;5000.349487304658;30673.697687304644;35674.0471746093;56663;11274;1.0
8;run_24_repetition_19;DONE;3.2;3B;BoolQ;5787.2169189453125;24;19;94852;5087.0145263671875;32245.531326367192;37332.54585273438;55166;11957;1.0
9;run_5_repetition_18;DONE;2.0;7B;WSC;251951.2221069336;5;18;178861;9410.16094970703;64415.79514970712;73825.95609941415;45028;11578;1.0
10;run_6_repetition_28;DONE;3.0;8B;BoolQ;7352.036865234375;6;28;120835;6470.888427734375;43126.90342773439;49597.79185546877;33226;7085;1.0
11;run_29_repetition_18;DONE;3.2;3B;WSC;4269.8404541015625;29;18;66629;3555.57958984375;22491.35238984374;26046.93197968749;34580;8355;1.0
12;run_18_repetition_8;DONE;3.2;1B;BoolQ;2986.4965209960938;18;8;43820;2430.158203125;13782.048403125003;16212.206606250003;60358;12792;1.0
13;run_20_repetition_10;DONE;3.2;1B;COPA;3104.6284790039062;20;10;43816;2609.0999145507812;13885.172914550789;16494.27282910157;59808;12531;1.0
14;run_7_repetition_9;DONE;3.0;8B;CB;12629.528076171877;7;9;221874;11767.57568359375;78727.50988359368;90495.08556718745;65239;13110;1.0
15;run_22_repetition_29;DONE;3.2;1B;WiC;3109.4479370117188;22;29;41813;2529.780700683601;13580.345100683602;16110.125801367203;55147;12330;1.0
16;run_2_repetition_5;DONE;2.0;7B;COPA;11158.112426757812;2;5;191894;10347.753112792976;69263.50611279291;79611.25922558588;53692;12554;1.0
17;run_5_repetition_10;DONE;2.0;7B;WSC;10332.448303222656;5;10;178895;9577.62042236328;64900.282022363266;74477.90244472655;45028;11578;1.0
18;run_25_repetition_15;DONE;3.2;3B;CB;6869.623107910156;25;15;111836;6156.388916015625;38206.4839160156;44362.87283203123;69734;14123;1.0
19;run_2_repetition_4;DONE;2.0;7B;COPA;10987.063232421877;2;4;191861;10181.666564941406;69043.92196494146;79225.58852988287;53692;12554;1.0
20;run_7_repetition_6;DONE;3.0;8B;CB;12680.492736816406;7;6;222682;11814.93389892578;79608.94249892583;91423.8763978516;65239;13110;1.0
21;run_17_repetition_6;DONE;3.1;8B;WSC;7324.949829101562;17;6;121840;6443.027465820327;43271.77606582034;49714.80353164067;29189;7126;1.0
22;run_16_repetition_2;DONE;3.1;8B;WiC;14278.484191894531;16;2;245700;13405.618591308594;87901.56059130852;101307.17918261712;63916;14562;1.0
