generation,task,n_reps,mean_E,median_E,var_E,sd_E,min_E,max_E
2,BoolQ,30,87434.66403422525,87625.143936914,321969.3573776438,567.4234374588732,86068.43350996092,88204.95708574222
3,BoolQ,30,49513.379323431,49541.49485078122,155630.82736379627,394.50073176585653,48685.9456339844,50117.01450312517
3.1,BoolQ,30,56413.3113708073,56436.84867441405,170548.80109738847,412.97554539874204,55141.5664269531,57030.75386328123
3.2,BoolQ,60,27118.599007597662,27152.68776699225,69963700.89427179,8364.430697559266,16212.206606250003,37799.49383144536
2,CB,30,87413.80750206379,87437.33729716796,185123.85465997612,430.26021738010604,86377.11637050782,88069.87995351569
3,CB,30,90874.75587856774,90936.54872324222,288111.62674039864,536.7603065991361,89595.81962207038,91915.82282187504
3.1,CB,30,65374.02255432293,65388.520935546876,274932.875349847,524.3404193363764,64046.98709511733,66367.87383945312
3.2,CB,60,31782.08734014323,31829.687056347662,141530740.94499362,11896.669321494719,18960.52346054688,44751.47332519533
2,COPA,30,79131.91620867839,79253.41647363291,252854.3929008988,502.8462915254509,77987.54300214851,80273.25960664057
3,COPA,30,81257.66962141925,81232.81678974611,372061.8658070387,609.9687416638976,79605.37395468743,82220.9824257813
3.1,COPA,30,86116.24276154948,86085.70922685546,388764.89546146657,623.5101406244061,84681.64507167977,87168.58070097661
3.2,COPA,60,26190.618964391284,26156.77744248048,106681231.44788463,10328.660680256886,14263.663005078126,37901.867643554666
2,RTE,30,78135.19384680988,78124.49139726558,95898.08699119856,309.67416261483385,77491.35136210939,78752.31745195312
3,RTE,30,81266.79179460937,81250.93895429687,390180.2084931006,624.6440654429533,80247.8209638672,82499.13111386723
3.1,RTE,30,64045.64336210938,64007.120661816356,311955.6043976287,558.5298598979545,62863.150128710906,65134.362937890604
3.2,RTE,60,24929.53532958659,24673.053740039046,127204009.77460502,11278.475507558856,13308.088407031246,37005.32509667968
2,WiC,30,83475.98169709637,83635.11904707036,287917.02479887253,536.5790014516712,82053.49211894535,84364.10205507815
3,WiC,30,102331.38953111981,102305.52141240229,863358.5303293706,929.1708832767903,100076.5149164062,104496.07348671876
3.1,WiC,30,100755.80440835287,100878.04345781244,391240.1035214961,625.491889253167,99635.82238671872,102303.77820996086
3.2,WiC,60,27316.51618698242,26096.983529980476,125824594.84563552,11217.156272676044,15770.684114843749,40237.03692441393
2,WSC,30,73748.55649335939,73681.64418574217,193811.07438606574,440.2397919157987,72416.71626269529,74477.90244472655
3,WSC,30,51149.74988165366,51211.22028847656,191032.80867633864,437.0730015413199,50123.14654843754,51971.11609316405
3.1,WSC,30,49710.88927489584,49717.05102929687,116679.01454900681,341.5831005026549,49107.04207597659,50324.28564589841
3.2,WSC,60,18246.31480900065,18086.398242675783,67132219.20900083,8193.425364827634,9605.901146484372,27343.21695566407
